,product_ID,sale_date,sales_rep,region,quantity_Sold,product_category,unit_cost,unit_price,customer_type,payment_method,sales_channel,sales,cost_of_sales,gross margin
0,1052,2023-02-03,Bob,North,18,Furniture,152.75,267.22,Returning,Cash,Online,4809.960000000001,2749.5,2060.460000000001
1,1093,2023-04-21,Bob,West,17,Furniture,3816.39,4209.44,Returning,Cash,Retail,71560.48,64878.63,6681.8499999999985
2,1015,2023-09-21,David,South,30,Food,261.56,371.4,Returning,Bank Transfer,Retail,11142.0,7846.8,3295.2
3,1072,2023-08-24,Bob,South,39,Clothing,4330.03,4467.75,New,Credit Card,Retail,174242.25,168871.16999999998,5371.080000000016
4,1061,2023-03-24,Charlie,East,13,Electronics,637.37,692.71,New,Credit Card,Online,9005.23,8285.81,719.4200000000001
5,1021,2023-02-11,Charlie,West,32,Food,900.79,1106.51,New,Cash,Online,35408.32,28825.28,6583.040000000001
6,1083,2023-04-11,Bob,West,29,Furniture,2408.81,2624.09,Returning,Cash,Online,76098.61,69855.49,6243.119999999995
7,1087,2023-01-06,Eve,South,46,Furniture,3702.51,3964.65,New,Bank Transfer,Online,182373.9,170315.46000000002,12058.439999999973
8,1075,2023-06-29,David,South,30,Furniture,738.06,1095.4499999999998,New,Bank Transfer,Online,32863.49999999999,22141.8,10721.699999999993
9,1075,2023-10-09,Charlie,West,18,Clothing,2228.35,2682.34,New,Bank Transfer,Online,48282.12,40110.299999999996,8171.820000000007
10,1088,2023-11-16,Eve,North,13,Furniture,2440.11,2517.6,New,Bank Transfer,Retail,32728.8,31721.43,1007.369999999999
11,1100,2023-08-14,Bob,West,43,Food,1100.81,1137.44,Returning,Bank Transfer,Online,48909.920000000006,47334.829999999994,1575.090000000011
12,1024,2023-11-11,Eve,West,21,Food,622.01,641.09,Returning,Bank Transfer,Retail,13462.890000000001,13062.21,400.6800000000021
13,1003,2023-12-31,Alice,South,30,Furniture,4190.28,4270.65,New,Cash,Online,128119.49999999999,125708.4,2411.0999999999913
14,1022,2023-08-17,Charlie,South,21,Food,2537.2,2869.6,New,Bank Transfer,Retail,60261.6,53281.2,6980.4000000000015
